Sn,Id,Ls,St,Rs,Lw,Lf,Cf,Rf,Rw,Lam,Cam,Ram,Lm,Lcm,Cm,Rcm,Rm,Lwb,Ldm,Cdm,Rdm,Rwb,Lb,Lcb,Cb,Rcb,Rb,Original_Position
13916,239841,52+2,52+2,52+2,52+2,51+2,51+2,51+2,52+2,51+2,51+2,51+2,55+2,56+2,56+2,56+2,55+2,66+2,65+2,65+2,65+2,66+2,67+2,69+2,69+2,69+2,67+2,CB
13917,216289,64+2,64+2,64+2,68+2,68+2,68+2,68+2,68+2,69+2,69+2,69+2,68+2,68+2,68+2,68+2,68+2,63+2,63+2,63+2,63+2,63+2,61+2,57+2,57+2,57+2,61+2,"CAM,CM"
13918,206561,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
13919,198625,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
13920,188128,68+2,68+2,68+2,62+2,66+2,66+2,66+2,62+2,65+2,65+2,65+2,61+2,60+2,60+2,60+2,61+2,47+2,49+2,49+2,49+2,47+2,44+2,46+2,46+2,46+2,44+2,ST
13921,230368,59+2,59+2,59+2,64+2,61+2,61+2,61+2,64+2,63+2,63+2,63+2,65+2,63+2,63+2,63+2,65+2,68+2,65+2,65+2,65+2,68+2,69+2,67+2,67+2,67+2,69+2,"RB,RM"
13922,202208,66+2,66+2,66+2,69+2,67+2,67+2,67+2,69+2,67+2,67+2,67+2,69+2,64+2,64+2,64+2,69+2,62+2,59+2,59+2,59+2,62+2,59+2,53+2,53+2,53+2,59+2,"RM,CAM"
13923,199904,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
13924,184031,68+2,68+2,68+2,69+2,69+2,69+2,69+2,69+2,68+2,68+2,68+2,69+2,64+2,64+2,64+2,69+2,59+2,57+2,57+2,57+2,59+2,56+2,52+2,52+2,52+2,56+2,"RW,LW"
13925,219871,65+2,65+2,65+2,70+2,69+2,69+2,69+2,70+2,69+2,69+2,69+2,69+2,67+2,67+2,67+2,69+2,69+2,67+2,67+2,67+2,69+2,69+2,65+2,65+2,65+2,69+2,"LB,CM,LW"
13926,191198,62+2,62+2,62+2,64+2,63+2,63+2,63+2,64+2,64+2,64+2,64+2,65+2,65+2,65+2,65+2,65+2,69+2,68+2,68+2,68+2,69+2,68+2,67+2,67+2,67+2,68+2,"LB,LWB,CB"
13927,232926,68+2,68+2,68+2,65+2,67+2,67+2,67+2,65+2,66+2,66+2,66+2,65+2,63+2,63+2,63+2,65+2,48+2,48+2,48+2,48+2,48+2,45+2,42+2,42+2,42+2,45+2,"ST,LW,LM,CF"
13928,223966,61+2,61+2,61+2,65+2,63+2,63+2,63+2,65+2,63+2,63+2,63+2,66+2,64+2,64+2,64+2,66+2,69+2,67+2,67+2,67+2,69+2,68+2,67+2,67+2,67+2,68+2,"LB,LM"
13929,208862,52+2,52+2,52+2,53+2,52+2,52+2,52+2,53+2,55+2,55+2,55+2,56+2,60+2,60+2,60+2,56+2,65+2,68+2,68+2,68+2,65+2,66+2,69+2,69+2,69+2,66+2,"CDM,CB"
13930,195037,41+2,41+2,41+2,35+2,37+2,37+2,37+2,35+2,39+2,39+2,39+2,39+2,48+2,48+2,48+2,39+2,53+2,62+2,62+2,62+2,53+2,57+2,69+2,69+2,69+2,57+2,CB
13931,241629,62+2,62+2,62+2,68+2,66+2,66+2,66+2,68+2,66+2,66+2,66+2,68+2,65+2,65+2,65+2,68+2,69+2,66+2,66+2,66+2,69+2,69+2,66+2,66+2,66+2,69+2,"LM,LB"
13932,234972,68+2,68+2,68+2,64+2,65+2,65+2,65+2,64+2,60+2,60+2,60+2,61+2,51+2,51+2,51+2,61+2,46+2,41+2,41+2,41+2,46+2,45+2,41+2,41+2,41+2,45+2,"ST,RM"
13933,163804,65+2,65+2,65+2,66+2,67+2,67+2,67+2,66+2,68+2,68+2,68+2,66+2,69+2,69+2,69+2,66+2,61+2,63+2,63+2,63+2,61+2,59+2,58+2,58+2,58+2,59+2,"CM,CAM"
13934,222428,48+2,48+2,48+2,43+2,45+2,45+2,45+2,43+2,46+2,46+2,46+2,47+2,54+2,54+2,54+2,47+2,60+2,65+2,65+2,65+2,60+2,63+2,69+2,69+2,69+2,63+2,CB
13935,216284,45+2,45+2,45+2,39+2,42+2,42+2,42+2,39+2,44+2,44+2,44+2,41+2,49+2,49+2,49+2,41+2,52+2,61+2,61+2,61+2,52+2,55+2,68+2,68+2,68+2,55+2,CB
13936,209372,64+2,64+2,64+2,68+2,68+2,68+2,68+2,68+2,69+2,69+2,69+2,68+2,66+2,66+2,66+2,68+2,60+2,58+2,58+2,58+2,60+2,57+2,49+2,49+2,49+2,57+2,CAM
13937,234203,59+2,59+2,59+2,65+2,64+2,64+2,64+2,65+2,66+2,66+2,66+2,67+2,69+2,69+2,69+2,67+2,68+2,69+2,69+2,69+2,68+2,67+2,65+2,65+2,65+2,67+2,"CM,CDM"
13938,207835,69+2,69+2,69+2,68+2,68+2,68+2,68+2,68+2,67+2,67+2,67+2,67+2,60+2,60+2,60+2,67+2,52+2,48+2,48+2,48+2,52+2,50+2,45+2,45+2,45+2,50+2,ST
13939,239322,46+2,46+2,46+2,40+2,42+2,42+2,42+2,40+2,43+2,43+2,43+2,44+2,50+2,50+2,50+2,44+2,58+2,63+2,63+2,63+2,58+2,61+2,69+2,69+2,69+2,61+2,CB
13940,39386,64+2,64+2,64+2,67+2,66+2,66+2,66+2,67+2,66+2,66+2,66+2,68+2,66+2,66+2,66+2,68+2,69+2,66+2,66+2,66+2,69+2,69+2,64+2,64+2,64+2,69+2,LB
13941,230362,56+2,56+2,56+2,61+2,58+2,58+2,58+2,61+2,61+2,61+2,61+2,64+2,64+2,64+2,64+2,64+2,69+2,68+2,68+2,68+2,69+2,69+2,68+2,68+2,68+2,69+2,"RB,RWB"
13942,238041,56+2,56+2,56+2,63+2,61+2,61+2,61+2,63+2,61+2,61+2,61+2,65+2,60+2,60+2,60+2,65+2,68+2,65+2,65+2,65+2,68+2,68+2,66+2,66+2,66+2,68+2,LB
13943,236505,47+2,47+2,47+2,43+2,45+2,45+2,45+2,43+2,45+2,45+2,45+2,45+2,50+2,50+2,50+2,45+2,58+2,62+2,62+2,62+2,58+2,60+2,68+2,68+2,68+2,60+2,CB
13944,242392,48+2,48+2,48+2,44+2,44+2,44+2,44+2,44+2,45+2,45+2,45+2,47+2,50+2,50+2,50+2,47+2,60+2,62+2,62+2,62+2,60+2,63+2,69+2,69+2,69+2,63+2,CB
13945,169432,61+2,61+2,61+2,63+2,63+2,63+2,63+2,63+2,66+2,66+2,66+2,64+2,69+2,69+2,69+2,64+2,64+2,69+2,69+2,69+2,64+2,63+2,66+2,66+2,66+2,63+2,"CDM,CM"
13946,152536,69+2,69+2,69+2,65+2,66+2,66+2,66+2,65+2,65+2,65+2,65+2,65+2,67+2,67+2,67+2,65+2,66+2,69+2,69+2,69+2,66+2,66+2,71+2,71+2,71+2,66+2,"CDM,CM"
13947,212440,64+2,64+2,64+2,69+2,68+2,68+2,68+2,69+2,68+2,68+2,68+2,69+2,66+2,66+2,66+2,69+2,61+2,59+2,59+2,59+2,61+2,59+2,53+2,53+2,53+2,59+2,"CAM,RM,LM"
13948,211672,67+2,67+2,67+2,71+2,69+2,69+2,69+2,71+2,67+2,67+2,67+2,69+2,58+2,58+2,58+2,69+2,49+2,42+2,42+2,42+2,49+2,45+2,34+2,34+2,34+2,45+2,"RM,LM"
13949,193495,63+2,63+2,63+2,66+2,65+2,65+2,65+2,66+2,67+2,67+2,67+2,66+2,69+2,69+2,69+2,66+2,67+2,69+2,69+2,69+2,67+2,66+2,66+2,66+2,66+2,66+2,"CM,CDM"
13950,184273,68+2,68+2,68+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,69+2,69+2,69+2,70+2,70+2,68+2,68+2,68+2,70+2,69+2,66+2,66+2,66+2,69+2,"LB,LM"
13951,224977,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
13952,214993,51+2,51+2,51+2,53+2,51+2,51+2,51+2,53+2,51+2,51+2,51+2,54+2,54+2,54+2,54+2,54+2,64+2,63+2,63+2,63+2,64+2,65+2,68+2,68+2,68+2,65+2,CB
13953,201681,64+2,64+2,64+2,69+2,67+2,67+2,67+2,69+2,68+2,68+2,68+2,69+2,67+2,67+2,67+2,69+2,68+2,67+2,67+2,67+2,68+2,67+2,65+2,65+2,65+2,67+2,"RM,LM,CDM,CM"
13954,220624,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
13955,212944,64+2,64+2,64+2,67+2,67+2,67+2,67+2,67+2,68+2,68+2,68+2,68+2,66+2,66+2,66+2,68+2,55+2,55+2,55+2,55+2,55+2,52+2,48+2,48+2,48+2,52+2,"CAM,CM"
13956,204496,49+2,49+2,49+2,43+2,45+2,45+2,45+2,43+2,45+2,45+2,45+2,45+2,52+2,52+2,52+2,45+2,57+2,64+2,64+2,64+2,57+2,59+2,68+2,68+2,68+2,59+2,CB
13957,184527,66+2,66+2,66+2,69+2,67+2,67+2,67+2,69+2,66+2,66+2,66+2,68+2,60+2,60+2,60+2,68+2,58+2,52+2,52+2,52+2,58+2,55+2,48+2,48+2,48+2,55+2,"RM,ST,RW"
13958,181455,63+2,63+2,63+2,62+2,61+2,61+2,61+2,62+2,61+2,61+2,61+2,63+2,62+2,62+2,62+2,63+2,68+2,67+2,67+2,67+2,68+2,69+2,70+2,70+2,70+2,69+2,LB
13959,243663,47+2,47+2,47+2,43+2,44+2,44+2,44+2,43+2,44+2,44+2,44+2,45+2,50+2,50+2,50+2,45+2,58+2,62+2,62+2,62+2,58+2,60+2,69+2,69+2,69+2,60+2,CB
13960,164559,69+2,69+2,69+2,63+2,67+2,67+2,67+2,63+2,64+2,64+2,64+2,62+2,62+2,62+2,62+2,62+2,56+2,56+2,56+2,56+2,56+2,55+2,55+2,55+2,55+2,55+2,ST
13961,219087,61+2,61+2,61+2,60+2,60+2,60+2,60+2,60+2,58+2,58+2,58+2,61+2,61+2,61+2,61+2,61+2,67+2,67+2,67+2,67+2,67+2,68+2,70+2,70+2,70+2,68+2,"LB,CB"
13962,215247,69+2,69+2,69+2,65+2,66+2,66+2,66+2,65+2,63+2,63+2,63+2,64+2,58+2,58+2,58+2,64+2,50+2,47+2,47+2,47+2,50+2,48+2,44+2,44+2,44+2,48+2,ST
13963,214991,61+2,61+2,61+2,63+2,63+2,63+2,63+2,63+2,65+2,65+2,65+2,64+2,67+2,67+2,67+2,64+2,66+2,68+2,68+2,68+2,66+2,65+2,65+2,65+2,65+2,65+2,"CDM,CM"
13964,213711,59+2,59+2,59+2,63+2,63+2,63+2,63+2,63+2,65+2,65+2,65+2,65+2,68+2,68+2,68+2,65+2,66+2,69+2,69+2,69+2,66+2,65+2,63+2,63+2,63+2,65+2,"CM,CDM"
13965,212943,69+2,69+2,69+2,65+2,66+2,66+2,66+2,65+2,63+2,63+2,63+2,63+2,55+2,55+2,55+2,63+2,46+2,43+2,43+2,43+2,46+2,44+2,42+2,42+2,42+2,44+2,ST
13966,208335,56+2,56+2,56+2,58+2,56+2,56+2,56+2,58+2,56+2,56+2,56+2,60+2,58+2,58+2,58+2,60+2,68+2,66+2,66+2,66+2,68+2,68+2,69+2,69+2,69+2,68+2,"RB,RWB"
13967,243662,59+2,59+2,59+2,65+2,63+2,63+2,63+2,65+2,63+2,63+2,63+2,66+2,62+2,62+2,62+2,66+2,70+2,63+2,63+2,63+2,70+2,69+2,60+2,60+2,60+2,69+2,RB
13968,239822,54+2,54+2,54+2,56+2,54+2,54+2,54+2,56+2,54+2,54+2,54+2,59+2,56+2,56+2,56+2,59+2,67+2,64+2,64+2,64+2,67+2,68+2,69+2,69+2,69+2,68+2,CB
13969,230350,57+2,57+2,57+2,63+2,60+2,60+2,60+2,63+2,61+2,61+2,61+2,65+2,61+2,61+2,61+2,65+2,69+2,64+2,64+2,64+2,69+2,68+2,63+2,63+2,63+2,68+2,LB
13970,230094,69+2,69+2,69+2,65+2,67+2,67+2,67+2,65+2,65+2,65+2,65+2,64+2,61+2,61+2,61+2,64+2,52+2,52+2,52+2,52+2,52+2,51+2,49+2,49+2,49+2,51+2,ST
13971,227790,40+2,40+2,40+2,36+2,38+2,38+2,38+2,36+2,39+2,39+2,39+2,40+2,47+2,47+2,47+2,40+2,55+2,60+2,60+2,60+2,55+2,59+2,69+2,69+2,69+2,59+2,CB
13972,184781,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
13973,234957,68+2,68+2,68+2,63+2,66+2,66+2,66+2,63+2,62+2,62+2,62+2,59+2,53+2,53+2,53+2,59+2,42+2,40+2,40+2,40+2,42+2,41+2,38+2,38+2,38+2,41+2,ST
13974,229325,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
13975,209613,69+2,69+2,69+2,67+2,68+2,68+2,68+2,67+2,66+2,66+2,66+2,67+2,59+2,59+2,59+2,67+2,48+2,44+2,44+2,44+2,48+2,45+2,37+2,37+2,37+2,45+2,ST
13976,219852,50+2,50+2,50+2,53+2,51+2,51+2,51+2,53+2,51+2,51+2,51+2,55+2,55+2,55+2,55+2,55+2,67+2,65+2,65+2,65+2,67+2,68+2,70+2,70+2,70+2,68+2,"RB,CB"
13977,212428,69+2,69+2,69+2,66+2,67+2,67+2,67+2,66+2,65+2,65+2,65+2,64+2,56+2,56+2,56+2,64+2,45+2,41+2,41+2,41+2,45+2,42+2,38+2,38+2,38+2,42+2,ST
13978,190667,63+2,63+2,63+2,68+2,67+2,67+2,67+2,68+2,69+2,69+2,69+2,68+2,64+2,64+2,64+2,68+2,55+2,53+2,53+2,53+2,55+2,51+2,45+2,45+2,45+2,51+2,LM
13979,227787,64+2,64+2,64+2,68+2,69+2,69+2,69+2,68+2,70+2,70+2,70+2,69+2,69+2,69+2,69+2,69+2,65+2,64+2,64+2,64+2,65+2,64+2,58+2,58+2,58+2,64+2,CM
13980,225995,60+2,60+2,60+2,65+2,64+2,64+2,64+2,65+2,64+2,64+2,64+2,68+2,66+2,66+2,66+2,68+2,69+2,68+2,68+2,68+2,69+2,69+2,66+2,66+2,66+2,69+2,"RB,RM"
13981,203211,63+2,63+2,63+2,68+2,67+2,67+2,67+2,68+2,69+2,69+2,69+2,68+2,68+2,68+2,68+2,68+2,62+2,62+2,62+2,62+2,62+2,60+2,56+2,56+2,56+2,60+2,"CAM,CM"
13982,200395,48+2,48+2,48+2,44+2,45+2,45+2,45+2,44+2,47+2,47+2,47+2,47+2,53+2,53+2,53+2,47+2,57+2,63+2,63+2,63+2,57+2,58+2,68+2,68+2,68+2,58+2,CB
13983,243402,68+2,68+2,68+2,70+2,69+2,69+2,69+2,70+2,68+2,68+2,68+2,69+2,62+2,62+2,62+2,69+2,53+2,49+2,49+2,49+2,53+2,49+2,42+2,42+2,42+2,49+2,RW
13984,224970,64+2,64+2,64+2,70+2,68+2,68+2,68+2,70+2,68+2,68+2,68+2,69+2,64+2,64+2,64+2,69+2,57+2,53+2,53+2,53+2,57+2,53+2,46+2,46+2,46+2,53+2,"LW,RW"
13985,220362,66+2,66+2,66+2,70+2,69+2,69+2,69+2,70+2,70+2,70+2,70+2,71+2,69+2,69+2,69+2,71+2,65+2,66+2,66+2,66+2,65+2,65+2,64+2,64+2,64+2,65+2,"LW,CAM,RW,LM"
13986,217802,67+2,67+2,67+2,69+2,69+2,69+2,69+2,69+2,68+2,68+2,68+2,69+2,64+2,64+2,64+2,69+2,56+2,53+2,53+2,53+2,56+2,53+2,48+2,48+2,48+2,53+2,"RM,LM"
13987,214986,51+2,51+2,51+2,51+2,49+2,49+2,49+2,51+2,50+2,50+2,50+2,54+2,54+2,54+2,54+2,54+2,65+2,64+2,64+2,64+2,65+2,66+2,69+2,69+2,69+2,66+2,CB
13988,182473,64+2,64+2,64+2,68+2,66+2,66+2,66+2,68+2,67+2,67+2,67+2,69+2,67+2,67+2,67+2,69+2,69+2,67+2,67+2,67+2,69+2,68+2,66+2,66+2,66+2,68+2,LB
13989,227785,69+2,69+2,69+2,69+2,69+2,69+2,69+2,69+2,68+2,68+2,68+2,68+2,62+2,62+2,62+2,68+2,55+2,52+2,52+2,52+2,55+2,52+2,48+2,48+2,48+2,52+2,"ST,LM,CAM"
13990,222153,68+2,68+2,68+2,70+2,69+2,69+2,69+2,70+2,69+2,69+2,69+2,69+2,64+2,64+2,64+2,69+2,57+2,54+2,54+2,54+2,57+2,55+2,49+2,49+2,49+2,55+2,"LW,CAM"
13991,214217,58+2,58+2,58+2,57+2,57+2,57+2,57+2,57+2,58+2,58+2,58+2,59+2,61+2,61+2,61+2,59+2,64+2,66+2,66+2,66+2,64+2,65+2,68+2,68+2,68+2,65+2,CB
13992,198857,43+2,43+2,43+2,40+2,41+2,41+2,41+2,40+2,41+2,41+2,41+2,42+2,47+2,47+2,47+2,42+2,57+2,61+2,61+2,61+2,57+2,60+2,69+2,69+2,69+2,60+2,CB
13993,110787,61+2,61+2,61+2,58+2,61+2,61+2,61+2,58+2,62+2,62+2,62+2,59+2,66+2,66+2,66+2,59+2,61+2,69+2,69+2,69+2,61+2,61+2,70+2,70+2,70+2,61+2,CDM
13994,239043,69+2,69+2,69+2,68+2,69+2,69+2,69+2,68+2,67+2,67+2,67+2,66+2,57+2,57+2,57+2,66+2,46+2,43+2,43+2,43+2,46+2,43+2,39+2,39+2,39+2,43+2,ST
13995,166851,53+2,53+2,53+2,48+2,50+2,50+2,50+2,48+2,51+2,51+2,51+2,49+2,57+2,57+2,57+2,49+2,57+2,65+2,65+2,65+2,57+2,58+2,69+2,69+2,69+2,58+2,CB
13996,140483,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
13997,204227,69+2,69+2,69+2,64+2,66+2,66+2,66+2,64+2,63+2,63+2,63+2,63+2,57+2,57+2,57+2,63+2,49+2,48+2,48+2,48+2,49+2,47+2,48+2,48+2,48+2,47+2,ST
13998,234178,47+2,47+2,47+2,46+2,46+2,46+2,46+2,46+2,46+2,46+2,46+2,49+2,51+2,51+2,51+2,49+2,62+2,63+2,63+2,63+2,62+2,64+2,69+2,69+2,69+2,64+2,CB
13999,221890,62+2,62+2,62+2,62+2,62+2,62+2,62+2,62+2,64+2,64+2,64+2,63+2,66+2,66+2,66+2,63+2,66+2,69+2,69+2,69+2,66+2,66+2,69+2,69+2,69+2,66+2,"CDM,CM"
14000,221121,68+2,68+2,68+2,70+2,71+2,71+2,71+2,70+2,72+2,72+2,72+2,69+2,67+2,67+2,67+2,69+2,59+2,57+2,57+2,57+2,59+2,56+2,50+2,50+2,50+2,56+2,"ST,RM"
14001,213697,63+2,63+2,63+2,61+2,63+2,63+2,63+2,61+2,63+2,63+2,63+2,61+2,65+2,65+2,65+2,61+2,65+2,69+2,69+2,69+2,65+2,66+2,72+2,72+2,72+2,66+2,"CDM,CM,CB"
14002,188352,63+2,63+2,63+2,66+2,65+2,65+2,65+2,66+2,65+2,65+2,65+2,67+2,67+2,67+2,67+2,67+2,70+2,69+2,69+2,69+2,70+2,69+2,65+2,65+2,65+2,69+2,"RB,LM,RM"
14003,214208,58+2,58+2,58+2,61+2,62+2,62+2,62+2,61+2,64+2,64+2,64+2,64+2,68+2,68+2,68+2,64+2,66+2,69+2,69+2,69+2,66+2,66+2,66+2,66+2,66+2,66+2,CDM
14004,210880,59+2,59+2,59+2,64+2,61+2,61+2,61+2,64+2,62+2,62+2,62+2,66+2,63+2,63+2,63+2,66+2,69+2,66+2,66+2,66+2,69+2,68+2,64+2,64+2,64+2,68+2,"RB,RM,LB"
14005,184255,68+2,68+2,68+2,62+2,65+2,65+2,65+2,62+2,63+2,63+2,63+2,60+2,60+2,60+2,60+2,60+2,48+2,51+2,51+2,51+2,48+2,48+2,50+2,50+2,50+2,48+2,ST
14006,213951,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
14007,198335,64+2,64+2,64+2,69+2,67+2,67+2,67+2,69+2,68+2,68+2,68+2,69+2,68+2,68+2,68+2,69+2,70+2,68+2,68+2,68+2,70+2,69+2,66+2,66+2,66+2,69+2,"LB,LWB"
14008,241854,60+2,60+2,60+2,57+2,59+2,59+2,59+2,57+2,60+2,60+2,60+2,57+2,62+2,62+2,62+2,57+2,63+2,67+2,67+2,67+2,63+2,64+2,68+2,68+2,68+2,64+2,CB
14009,223422,48+2,48+2,48+2,44+2,45+2,45+2,45+2,44+2,45+2,45+2,45+2,46+2,49+2,49+2,49+2,46+2,58+2,61+2,61+2,61+2,58+2,61+2,69+2,69+2,69+2,61+2,CB
14010,137406,64+2,64+2,64+2,69+2,68+2,68+2,68+2,69+2,69+2,69+2,69+2,70+2,69+2,69+2,69+2,70+2,69+2,68+2,68+2,68+2,69+2,67+2,65+2,65+2,65+2,67+2,CM
14011,202686,69+2,69+2,69+2,70+2,70+2,70+2,70+2,70+2,69+2,69+2,69+2,68+2,64+2,64+2,64+2,68+2,59+2,56+2,56+2,56+2,59+2,57+2,53+2,53+2,53+2,57+2,ST
14012,206269,60+2,60+2,60+2,64+2,63+2,63+2,63+2,64+2,64+2,64+2,64+2,66+2,65+2,65+2,65+2,66+2,69+2,67+2,67+2,67+2,69+2,68+2,66+2,66+2,66+2,68+2,RB
14013,240060,57+2,57+2,57+2,64+2,61+2,61+2,61+2,64+2,62+2,62+2,62+2,65+2,62+2,62+2,62+2,65+2,69+2,66+2,66+2,66+2,69+2,69+2,65+2,65+2,65+2,69+2,RB
14014,231612,65+2,65+2,65+2,70+2,68+2,68+2,68+2,70+2,69+2,69+2,69+2,69+2,64+2,64+2,64+2,69+2,57+2,54+2,54+2,54+2,57+2,54+2,47+2,47+2,47+2,54+2,RM
14015,217532,51+2,51+2,51+2,61+2,57+2,57+2,57+2,61+2,59+2,59+2,59+2,63+2,60+2,60+2,60+2,63+2,68+2,65+2,65+2,65+2,68+2,68+2,65+2,65+2,65+2,68+2,"LB,LM"
14016,214971,65+2,65+2,65+2,69+2,68+2,68+2,68+2,69+2,69+2,69+2,69+2,69+2,64+2,64+2,64+2,69+2,53+2,50+2,50+2,50+2,53+2,49+2,42+2,42+2,42+2,49+2,"LM,RM,LW,ST"
14017,214459,58+2,58+2,58+2,67+2,65+2,65+2,65+2,67+2,68+2,68+2,68+2,67+2,62+2,62+2,62+2,67+2,48+2,45+2,45+2,45+2,48+2,43+2,31+2,31+2,31+2,43+2,CAM
14018,204731,60+2,60+2,60+2,63+2,62+2,62+2,62+2,63+2,63+2,63+2,63+2,65+2,65+2,65+2,65+2,65+2,69+2,67+2,67+2,67+2,69+2,68+2,66+2,66+2,66+2,68+2,LB
14019,188602,54+2,54+2,54+2,57+2,55+2,55+2,55+2,57+2,57+2,57+2,57+2,61+2,62+2,62+2,62+2,61+2,66+2,67+2,67+2,67+2,66+2,66+2,69+2,69+2,69+2,66+2,"CB,CDM"
14020,235706,67+2,67+2,67+2,70+2,70+2,70+2,70+2,70+2,69+2,69+2,69+2,68+2,62+2,62+2,62+2,68+2,53+2,50+2,50+2,50+2,53+2,50+2,43+2,43+2,43+2,50+2,"LW,CAM"
14021,233146,62+2,62+2,62+2,66+2,64+2,64+2,64+2,66+2,64+2,64+2,64+2,67+2,64+2,64+2,64+2,67+2,70+2,65+2,65+2,65+2,70+2,69+2,64+2,64+2,64+2,69+2,"LB,CB"
14022,230074,52+2,52+2,52+2,59+2,56+2,56+2,56+2,59+2,59+2,59+2,59+2,61+2,62+2,62+2,62+2,61+2,68+2,67+2,67+2,67+2,68+2,68+2,68+2,68+2,68+2,68+2,RB
14023,224186,53+2,53+2,53+2,45+2,48+2,48+2,48+2,45+2,45+2,45+2,45+2,46+2,51+2,51+2,51+2,46+2,58+2,62+2,62+2,62+2,58+2,60+2,69+2,69+2,69+2,60+2,CB
14024,201914,43+2,43+2,43+2,40+2,41+2,41+2,41+2,40+2,42+2,42+2,42+2,43+2,48+2,48+2,48+2,43+2,57+2,61+2,61+2,61+2,57+2,61+2,68+2,68+2,68+2,61+2,CB
14025,191673,65+2,65+2,65+2,66+2,67+2,67+2,67+2,66+2,68+2,68+2,68+2,66+2,68+2,68+2,68+2,66+2,63+2,65+2,65+2,65+2,63+2,62+2,61+2,61+2,61+2,62+2,"CM,CAM"
14026,188601,60+2,60+2,60+2,60+2,60+2,60+2,60+2,60+2,61+2,61+2,61+2,61+2,65+2,65+2,65+2,61+2,66+2,68+2,68+2,68+2,66+2,67+2,68+2,68+2,68+2,67+2,"CDM,RB,CM"
14027,224953,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
14028,220089,53+2,53+2,53+2,53+2,51+2,51+2,51+2,53+2,51+2,51+2,51+2,56+2,55+2,55+2,55+2,56+2,64+2,64+2,64+2,64+2,64+2,65+2,69+2,69+2,69+2,65+2,"CB,RB"
14029,212409,68+2,68+2,68+2,68+2,67+2,67+2,67+2,68+2,66+2,66+2,66+2,67+2,58+2,58+2,58+2,67+2,50+2,45+2,45+2,45+2,50+2,47+2,41+2,41+2,41+2,47+2,"ST,LM"
14030,195256,61+2,61+2,61+2,65+2,64+2,64+2,64+2,65+2,65+2,65+2,65+2,67+2,67+2,67+2,67+2,67+2,69+2,68+2,68+2,68+2,69+2,68+2,64+2,64+2,64+2,68+2,"LB,LM"
14031,215480,61+2,61+2,61+2,68+2,66+2,66+2,66+2,68+2,66+2,66+2,66+2,68+2,62+2,62+2,62+2,68+2,54+2,50+2,50+2,50+2,54+2,50+2,41+2,41+2,41+2,50+2,"RM,LM,ST"
14032,199352,58+2,58+2,58+2,56+2,58+2,58+2,58+2,56+2,59+2,59+2,59+2,58+2,64+2,64+2,64+2,58+2,63+2,68+2,68+2,68+2,63+2,63+2,69+2,69+2,69+2,63+2,"CDM,CB"
14033,234679,54+2,54+2,54+2,57+2,58+2,58+2,58+2,57+2,62+2,62+2,62+2,59+2,65+2,65+2,65+2,59+2,63+2,68+2,68+2,68+2,63+2,64+2,69+2,69+2,69+2,64+2,CB
14034,223671,43+2,43+2,43+2,39+2,40+2,40+2,40+2,39+2,41+2,41+2,41+2,42+2,48+2,48+2,48+2,42+2,58+2,62+2,62+2,62+2,58+2,61+2,68+2,68+2,68+2,61+2,CB
14035,222391,64+2,64+2,64+2,64+2,66+2,66+2,66+2,64+2,67+2,67+2,67+2,65+2,68+2,68+2,68+2,65+2,65+2,68+2,68+2,68+2,65+2,64+2,65+2,65+2,65+2,64+2,CM
14036,221367,64+2,64+2,64+2,68+2,68+2,68+2,68+2,68+2,69+2,69+2,69+2,68+2,65+2,65+2,65+2,68+2,55+2,54+2,54+2,54+2,55+2,51+2,45+2,45+2,45+2,51+2,"CAM,ST,LM"
14037,236466,60+2,60+2,60+2,66+2,64+2,64+2,64+2,66+2,66+2,66+2,66+2,68+2,68+2,68+2,68+2,68+2,70+2,69+2,69+2,69+2,70+2,69+2,66+2,66+2,66+2,69+2,"RB,RM,LB"
14038,221618,68+2,68+2,68+2,66+2,67+2,67+2,67+2,66+2,64+2,64+2,64+2,64+2,56+2,56+2,56+2,64+2,46+2,42+2,42+2,42+2,46+2,44+2,39+2,39+2,39+2,44+2,"ST,RM,LW"
14039,213170,62+2,62+2,62+2,62+2,63+2,63+2,63+2,62+2,65+2,65+2,65+2,64+2,68+2,68+2,68+2,64+2,64+2,69+2,69+2,69+2,64+2,63+2,66+2,66+2,66+2,63+2,CDM
14040,144306,48+2,48+2,48+2,44+2,44+2,44+2,44+2,44+2,43+2,43+2,43+2,44+2,46+2,46+2,46+2,44+2,57+2,59+2,59+2,59+2,57+2,60+2,68+2,68+2,68+2,60+2,CB
14041,240561,61+2,61+2,61+2,67+2,66+2,66+2,66+2,67+2,69+2,69+2,69+2,67+2,67+2,67+2,67+2,67+2,58+2,57+2,57+2,57+2,58+2,55+2,49+2,49+2,49+2,55+2,"CAM,CM,RW"
